Season,Commentor,Time Commented,Comment
3,@sumitinsta24,6 months ago,Pm ko likhna aata hai
4,@Pralad.thapa.kaji25,7 months ago,Wtf  is that Aman Hairstyle
4,@incredulous-,7 months ago,Anupam being a pookie with these little girls
4,@Azmirhossain-s5h,4 months ago,"aman earned my respect. the 2nd girl was lifting her fit for tiredness, it showes 5 min in video but in rea;ity each pitch takes way longer discussion. i noticed them feeling pain standing but nobody asking them to seat. perfectionist anupam also didnt notice. little details are the main thing to know and jydge a person. 


kunal was needed here."
4,@eyhigr7hc,5 months ago,"Aman ka hair style muje bara revolutionary aur innovate laga is liye 
Main aman ka hair pa 1 crore in exchange of 10% of equity in est karna chahoon ga ."
4,@abrarhasanalvi4172,5 months ago,No hate but first speech seems like indian idol
4,@Brutall26_p,7 months ago,"Aman malamal weekly ka Rajpal ""Baaje"""
4,@PawanRLogistics,5 days ago,Anupam is very harsh at times. I appreciate him being harsh because he is harsh when required. He is emotional and intelectual as much as i know. Love the way he is. I get inspires by him. Good job Anupam don’t change
4,@xxix.viii.mcmxcv,5 months ago,The way Aman said…
4,@PawanRLogistics,5 days ago,Anupam you are generous human being. Don’t change for humanity
4,@PitchingFish,7 months ago (edited),"Tickle Your Art
 Symbionic
 XL Cinema"
4,@AnjumMomin-id5az,6 months ago,Muje barsose talash thi abnormal bachoki khidmat karna unko improve karne ki khwahish thi aj apka yeh episode dekhke aisa laga ke kaash aisa maoka muje bhi mile Amen Allah bless you all
4,@yashpatil7319,7 months ago,Namita plz deal se out nahi show se out hojao
4,@varungaur9690,4 months ago,Overwhelmed for girls.. But not for blind people's pain.. Pathfetic.. Piyush hota to baat hi kuch aur hoti
4,@jaiswal_pranay,6 months ago,Namita need to learn some manners ....
4,@universemaster9889,7 months ago,Mr srikanth is daredevil without seeing but he see everything with his knowledge and wisdom
4,@2024selection,6 months ago,Aman sir literally looking handsome if we dont talk about  hairstyle  ...
4,@rustamkathat3261,7 months ago,Anupam and aman ️
4,@mihir4321,5 months ago,Jeet is THE WHALE that could eat all sharks
4,@Gauri-xe1oo,6 months ago,"""Wow, I was totally hooked from start to finish!  The way  presented their products was so creative and unique!  No wonder Namita was super impressed! Can't wait to see how their journey unfolds.  Definitely a game-changer in the art and decor space!  """
4,@vishwavishwas6611,2 months ago,Aman and anupama both they are true  sharks  love you brothers
4,@GaneshDoiphode,6 months ago,"Big Respect to u sir 
भगवान ने हमे सब देखे भी हमने क्या ऊखाडा"
4,@1rfanshaikh_1,1 month ago,Aman hairstyle like reverted muslim GenZ
4,@QUAZI__AASH__,1 month ago,Aman sirr ur hair style in this ep
4,@Gauri-xe1oo,6 months ago,"""Wow, what a pitch!  The last pitcher really brought something fresh to the table. Their passion and vision were clear, and I can totally see the potential in their idea. It’s always great to see entrepreneurs who are so determined and ready to make a change. Hope they get the backing they deserve!  """
4,@slayer55556,4 months ago,Is this ashish Solanki?
4,@Newswale05,2 months ago,Expertise
4,@shashankpurohit,5 months ago,stil not improved bhai Srikanth laga dete
